   Nr Navn                      Klubb                  Elo #par Fide Hurt Lyn
 366: Ellingsrud Bjørn          Nordstrand            1301  299
 367: Elphinstone Patrick       Nittedal               833   36
 368: Elseth Roar               OSS                   2241 1039 2324
 369: Elsness Frode             Moss                  2465  889 2458
 370: Elstad Odd Arne           1911                  1160  141
 371: Eltvik Arne               (Tidl. Molde)         1554   11
 372: Elvebakk Jan              Trondheim             1798  472 1923
 373: Engebretsen Tor           Nordstrand             860  197
 374: Engegård Toth Ødøn        Harstad                934   22
 375: Engen Roar                Aurskog-Høland        1733   59 1976
 376: Engeset Bjarte            Larvik                1652  141
 377: Engevik Bjarne J.         Strømmen              1679  752 1818
 378: Engh Erling               (Tidl. Stavanger)      755   70
 379: Engli Knut                Stjernen              1677  253
 380: Engstrøm Ottar            (Tidl. Drammen)        726   17
 381: Erbe Jonas                SMPOAÅ                1154   97
 382: Eriksen Bjarne            Førde                 1931   33
 383: Eriksen Dag               OSS                   1554  380
 384: Eriksen Geir-Arne         Moss                  1271  120
 385: Eriksen Haldor            (Tidl. Bodø)          1302   11
 386: Eriksen Jan Hugo          Stjernen              1313   82
 387: Eriksen Magnus            Mo                    1694  107 1917
 388: Eriksen Marius            Orkdal                1074   71
 389: Eriksen Marius            Nord-Odal              778   54
 390: Eriksen Matts             Orkdal                1547  374
 391: Eriksen Svend T           Fredriksstad           737  123
 392: Eriksen Terje             Drammen               2143  647 2191
 393: Eriksen Tom               Sotra                 1580  190
 394: Erikstad Olav             Akademisk             1665  687 1860
 395: Erlandsen Hege            (Tidl. Tromsø)        1063  131
 396: Erlendson Audun           Asker                 1298   52
 397: Esbensen Andreas          Team Bjørnsen         2053  506 2123
 398: Esbensen Hans Fredrik     Vadsø                 1445  559
 399: Esbensen Kai Inge         1911                  1593  203
 400: Espeland Nikolai          (Tidl. Sandnes)        609   26
 401: Evensen Jahn              Ottestad              1328   54
 402: Evensen Mats              (Tidl. Stjørdal)       908   76
 403: Evensen Roy               (Tidl. Harstad)       1785  602
 404: Evensen Tom R             Trondheim             1992  705 2058
 405: Faber Håkon S             (Tidl. SMPOAÅ)        1096  148
 406: Fadnes Bård               Bergens               1395  253
 407: Fagerjord Erlend          (Tidl. Trondheim)     1452   32
 408: Falao Rune Rugland        (Tidl. Hønefoss)      1586  180
 409: Fanghol Eric              Trondheim             1677   53
 410: Farmen Pål                Caissa                1735  619 1927
 411: Farstad Gudmund           Molde                 1719  378
 412: Feragen Erik              Hamar                 1501  132
 413: Feraget Sadik             Indre Østfold         1575  239
 414: Ferkingstad Sjur          Sandnes               2276 1040 2292
 415: Fernandes Richardson Dayv (Tidl. Orkdal)         953   33
 416: Fesche Rolf A             Asker                 1512  607
 417: Feyling Thor-Kenneth      Egersund              1344  218
 418: Filipovic Ferid           Elverum                994  114
 419: Findreng Astrid           Trondheim             1331  127
 420: Finjord Ingjald           Bergens               1503  375
 421: Finne Hans J              Våler                  884   13
 422: Fjeldberg Thomas          Fredriksstad           984   41
 423: Fjeldheim Arnt            Modum                  730   15
 424: Fjeldheim Egil Aarstad    Nordstrand            1105   86
 425: Fjeldstad Kay-Ove         Sotra                 1331  153
 426: Fjellengen Bård           Sarpsborg             1731 1126 1906
 427: Fjellestad Helge          1911                  1443  243
 428: Fjellheim Marius          Akademisk             1397  191 1798
 429: Fjære Stine               Konnerud              1001  111
 430: Fjørtoft Guttorm          Svartlamon            1358   44
 431: Flaa Eirik                Stjernen              1364  124
 432: Flaata Alexander R.       Black Knights         1963  618 2066
 433: Flemsæter Egil            Konnerud              1156   78
 434: Flensborg Egil            Løten                  975  291
 435: Flermoen Peter            Harstad               2125  194 2089
 436: Fleten Kåre               (Tidl. Hønefoss)       924   17
 437: Flo Steinar               Nordstrand            1366  427
 438: Floer Malin               (Tidl. Tromsø)        1006   66
 439: Floer Stig-Ove            (Tidl. Tromsø)        1252   50
 440: Flores Richard            (Tidl. Nittedal)      1486  142
 441: Flügel Stefan             Akademisk             1715   17
 442: Fløtten Erling            Vadsø                 1549  397 1840
 443: Fløtten Ingvild Brekke    Modum                  663   56
 444: Fløtten Øyvind B          Modum                  668   62
 445: Fomin Nikolai             Bergens               1116   72
 446: Forberg Anders            SOSS                  1999  475 2148
 447: Forfang Åsmund            Orkdal                1413  210
 448: Forsberg David            Sarpsborg              967   14
 449: Forsberg Jan              Sarpsborg             1608  495
 450: Forsberg Tommy            Sarpsborg             1510   38
 451: Forså Elise               Tromsø                1476  283 1693
 452: Forså Espen               Moss                  2329  592 2331
 453: Fosby Frode               Sarpsborg             1123  169
 454: Fosdahl Bjørn W           Stjernen              1645  523
 455: Fossan Erik               Stavanger             2309 1040 2369
 456: Fossheim Andreas          Fribonden              848   31
 457: Fossheim Øyvind           Fribonden             1575  171
 458: Fossum Øystein Bøyum      Trondheimstud         2204  609 2199
 459: Fotland Hans Chr          OSS                   1783  195 2030
 460: Fotland Petter            Bergens               1267   87
 461: Fredriksen Frank          Fredriksstad          1354  337
 462: Fredriksen Frode          Stavanger             1186   47
 463: Fredriksen Jan Gunnar     Akademisk             1794  431 1983
 464: Fredriksen Johnny         Sortland              1459   45
 465: Fredriksen Olav K.        1911                  1575  144
 466: Frengen Jomar             Trondheim             1314   12
 467: Frengen Trym B            Trondheim              736   22
 468: Friberg Reid Erik         Porsgrunn             1370  232
 469: Frich Toralf              1911                   871   19
 470: Friestad Joachim          Hønefoss              1439  166
 471: Friis Jon                 Hønefoss              1231   93
 472: Frimanslund Berge         Sotra                 1296  320
 473: Frislid Idar              Caissa                 771   22
 474: Frisvold Ole Emil         Bergens               1757  211 1864
 475: Frydendal Odd             Ottestad              1390  740
 476: Frydenlund Arve           Hønefoss              1410  219
 477: Frøland Benoni            (Tidl. Sandnes)       1387  121
 478: Frøland Kai E.            (Tidl. Bergens)       1297   11
 479: Furnes Harald             1911                  1791  408
 480: Furnes Torstein           Follo                 1505  648
 481: Furu Olve A.              Ullr                   701   12
 482: Furu Thormod              Team Bjørnsen         1900   27 2072
 483: Furuknap Tommy            Lillehammer            943   77
 484: Fyllingen Roy H           Bergens               2381  606 2391
 485: Fürst Jan Christian       (Tidl. Modum)          644   39
 486: Fürst Thomas              (Tidl. Modum)          752   19
 487: Fystro Odd Ivar           1911                  1281  636
 488: Færder Øystein F          (Tidl. Akademisk)      848   21
 489: Færevaag Evy              Masfjorden            1419  290 1738
 490: Førland Tor Egil          SOSS                  1839  490
 491: Førrisdahl Ole Kr         Sarpsborg             1720  663 1982
 492: Gaarder Hans K.           Nordstrand            1339  249 1794
 493: Gabrielsen Stig           Oslo Vest             2302  719 2312
 494: Gabrielsen Trond          Oslo Vest             2230  648 2273
 495: Gabrielsen Øyvind         Trondheim             1405  232 1788
 496: Galaasen Lars             Hønefoss              1321  320
 497: Gandrud Vegar Koi         Hønefoss              2134  455 2170
 498: Garberg Tore              1911                  1725  246 1880
 499: Garmark Vegard            Follo                 1038   96
 500: Garnås Eirik              1911                  1105  129
 501: Gatland Erling            Bergens               1542  965
 502: Gaudernack Henrik         1911                  1244  264
 503: Gausdal Stein Tore        Sandnes               1541  573
 504: Gausel Einar J            OSS                   2473 2310 2495
 505: Gaustad Erlend            Trondheim             1619   48
 506: Gedde Oddgeir Hidle       Aurskog-Høland         731   31
 507: Getz Nicolai              OSS                   2269  698 2263
 508: Ghaderi Arman K           Trondheim              822   29
 509: Ghaderi Hedda K           Trondheim              557   17
 510: Gholami Armin             OSS                   1250   94
 511: Gilberg Einar B.          Trondheim             1388  138
 512: Gisnås Gunnar             Orkdal                1140  143
 513: Gisnås Hallvar            Orkdal                1576  136
 514: Gjerald Tone              Stovner                706   11
 515: Gjertsen Petter           Arendal               1199   59
 516: Gjone Aage                Larvik                1367  326
 517: Gjørvad Bjarne            Gjøvik                1382  338
 518: Glenne Bjørn Erik         Kristiansund          2161 1133 2201
 519: Glomsås Guttorm           (Tidl. Bergens)        794   54
 520: Godal Arne                Indre Østfold         1638  144
 521: Godoy Javier              Halden                 922   10
 522: Govatsmark Konstantin     Akademisk             1430  185 1824
 523: Gram Henrik               Lørenskog             1558   27
 524: Grande Jakob Olafsen      1911                   963  159
 525: Grande Olav               1911                  1150   95
 526: Grande Roar               Kongsberg             1598  252
 527: Grandelius Nils           Kristiansund          2290   12
 528: Granum Roger              Hønefoss              1418  885
 529: Grebstad Kjell Børre      Asker                 1813  174 1959
 530: Gregersen Olav            (Tidl. Caissa)        1027  161
 531: Grendahl Tron Helge       Førde                 1636   39
 532: Grimstad Jon Gunnar       Sarpsborg             1453   54
 533: Grong Kjell               Lillestrøm            1150  308
 534: Groot Peter               Fredriksstad          1442  177
 535: Grotnes Nils Ragnar       Asker                 2150 1034 2214
 536: Gruben Tronn              Kirkegata             1402  222
 537: Grundekjøn Christian      Tromsø                1409  127
 538: Grunnsund Chris Willy     (Tidl. Kristiansand)   894   32
 539: Grunnsund Kjetil          (Tidl. Porsgrunn)     1031   14
 540: Grømer Gunnar Morten      1911                  1190   25
